"var_001","var_002","vp_id","var_003","var_004","var_005","var_006","var_007","var_008"
"sad","item1",20,"17/12/17","A",132,187,10,2
"sad","item2",20,"17/12/17","A",117,184,10,3
"sad","item3",20,"17/12/17","A",105,178,9,2
"sad","item4",20,"17/12/17","A",100,192,9,3
"sad","item5",20,"17/12/17","A",101,181,9,2
"sad","item6",20,"17/12/17","A",114,165,9,3
"sad","item7",20,"17/12/17","A",107,154,9,2
"sad","item8",20,"17/12/17","A",102,177,9,3
"sad","item9",20,"17/12/17","A",121,175,9,3
"sad","item10",20,"17/12/17","A",94,171,9,2
"sad","item11",20,"17/12/17","A",113,164,9,3
"sad","item12",20,"17/12/17","A",112,160,9,2
"sad","item13",20,"17/12/17","A",118,167,10,2
"sad","item14",20,"17/12/17","A",99,185,10,3
"sad","item15",20,"17/12/17","A",114,172,9,3
"sad","item16",20,"17/12/17","A",98,164,9,3
"sad","item17",20,"17/12/17","A",116,151,9,2
"sad","item18",20,"17/12/17","A",114,185,9,3
"sad","item19",20,"17/12/17","A",107,181,9,2
"sad","item20",20,"17/12/17","A",100,177,9,3
"sad","item21",20,"17/12/17","A",104,187,9,2
"sad","item22",20,"17/12/17","A",119,194,9,2
"sad","item23",20,"17/12/17","A",105,196,9,2
"sad","item24",20,"17/12/17","A",106,163,9,3
"sad","item25",20,"17/12/17","A",129,192,9,2
"sad","item26",20,"17/12/17","A",106,168,9,2
"sad","item27",20,"17/12/17","A",101,161,9,3
"sad","item28",20,"17/12/17","A",107,172,9,2
"sad","item29",20,"17/12/17","A",112,186,9,3
"sad","item30",20,"17/12/17","A",115,186,9,3
"sad","item31",20,"17/12/17","A",111,191,9,3
"sad","item32",20,"17/12/17","A",107,178,10,2
"happy","item33",20,"17/12/17","A",119,196,9,6
"happy","item34",20,"17/12/17","A",127,197,9,6
"happy","item35",20,"17/12/17","A",121,193,9,5
"happy","item36",20,"17/12/17","A",99,196,9,5
"happy","item37",20,"17/12/17","A",111,178,10,6
"happy","item38",20,"17/12/17","A",96,198,10,6
"happy","item39",20,"17/12/17","A",122,184,9,6
"happy","item40",20,"17/12/17","A",108,185,9,5
"happy","item41",20,"17/12/17","A",99,183,9,6
"happy","item42",20,"17/12/17","A",121,190,9,6
"happy","item43",20,"17/12/17","A",104,186,9,5
"happy","item44",20,"17/12/17","A",100,182,9,5
"happy","item45",20,"17/12/17","A",119,195,9,5
"happy","item46",20,"17/12/17","A",116,197,9,6
"happy","item47",20,"17/12/17","A",108,179,9,6
"happy","item48",20,"17/12/17","A",101,199,9,6
"happy","item49",20,"17/12/17","A",123,199,9,5
"happy","item50",20,"17/12/17","A",109,192,9,6
"happy","item51",20,"17/12/17","A",97,194,9,5
"happy","item52",20,"17/12/17","A",124,165,9,6
"happy","item53",20,"17/12/17","A",104,175,9,6
"happy","item54",20,"17/12/17","A",101,181,10,5
"happy","item55",20,"17/12/17","A",124,181,10,6
"happy","item56",20,"17/12/17","A",121,161,9,6
"happy","item57",20,"17/12/17","A",114,162,9,5
"happy","item58",20,"17/12/17","A",124,193,9,5
"happy","item59",20,"17/12/17","A",125,195,9,5
"happy","item60",20,"17/12/17","A",108,198,9,6
"happy","item61",20,"17/12/17","A",107,189,9,5
"happy","item62",20,"17/12/17","A",107,178,9,6
"happy","item63",20,"17/12/17","A",120,186,9,6
"happy","item64",20,"17/12/17","A",106,193,9,6
