"var_001","var_002","vp_id","var_003","var_004","var_005","var_006","var_007","var_008"
"sad","item1",18,"19/12/17","B",72,161,6,3
"sad","item2",18,"19/12/17","B",94,179,6,4
"sad","item3",18,"19/12/17","B",94,142,6,3
"sad","item4",18,"19/12/17","B",95,172,6,3
"sad","item5",18,"19/12/17","B",89,161,6,3
"sad","item6",18,"19/12/17","B",77,170,6,4
"sad","item7",18,"19/12/17","B",71,150,6,3
"sad","item8",18,"19/12/17","B",71,160,6,3
"sad","item9",18,"19/12/17","B",84,179,6,3
"sad","item10",18,"19/12/17","B",85,161,6,3
"sad","item11",18,"19/12/17","B",80,166,7,3
"sad","item12",18,"19/12/17","B",81,178,6,3
"sad","item13",18,"19/12/17","B",86,154,6,3
"sad","item14",18,"19/12/17","B",91,181,6,3
"sad","item15",18,"19/12/17","B",99,149,6,4
"sad","item16",18,"19/12/17","B",75,170,6,3
"sad","item17",18,"19/12/17","B",84,162,7,3
"sad","item18",18,"19/12/17","B",75,162,6,3
"sad","item19",18,"19/12/17","B",81,158,6,3
"sad","item20",18,"19/12/17","B",76,146,6,3
"sad","item21",18,"19/12/17","B",68,147,6,3
"sad","item22",18,"19/12/17","B",93,191,6,3
"sad","item23",18,"19/12/17","B",95,170,6,3
"sad","item24",18,"19/12/17","B",91,156,6,3
"sad","item25",18,"19/12/17","B",91,149,7,3
"sad","item26",18,"19/12/17","B",80,171,6,3
"sad","item27",18,"19/12/17","B",79,158,6,4
"sad","item28",18,"19/12/17","B",87,159,6,3
"sad","item29",18,"19/12/17","B",73,186,6,3
"sad","item30",18,"19/12/17","B",80,171,6,3
"sad","item31",18,"19/12/17","B",84,172,6,3
"sad","item32",18,"19/12/17","B",87,170,6,3
"happy","item33",18,"19/12/17","B",83,151,6,6
"happy","item34",18,"19/12/17","B",90,150,6,6
"happy","item35",18,"19/12/17","B",94,172,6,5
"happy","item36",18,"19/12/17","B",84,181,7,5
"happy","item37",18,"19/12/17","B",68,160,6,6
"happy","item38",18,"19/12/17","B",75,154,6,5
"happy","item39",18,"19/12/17","B",84,171,7,5
"happy","item40",18,"19/12/17","B",78,171,7,5
"happy","item41",18,"19/12/17","B",74,160,6,6
"happy","item42",18,"19/12/17","B",85,180,6,5
"happy","item43",18,"19/12/17","B",88,179,6,5
"happy","item44",18,"19/12/17","B",58,165,7,6
"happy","item45",18,"19/12/17","B",80,163,6,5
"happy","item46",18,"19/12/17","B",89,173,7,5
"happy","item47",18,"19/12/17","B",88,179,7,6
"happy","item48",18,"19/12/17","B",92,165,7,5
"happy","item49",18,"19/12/17","B",88,164,6,6
"happy","item50",18,"19/12/17","B",85,162,6,6
"happy","item51",18,"19/12/17","B",82,165,7,5
"happy","item52",18,"19/12/17","B",70,164,6,5
"happy","item53",18,"19/12/17","B",67,157,6,5
"happy","item54",18,"19/12/17","B",73,179,7,5
"happy","item55",18,"19/12/17","B",72,186,7,5
"happy","item56",18,"19/12/17","B",69,185,6,5
"happy","item57",18,"19/12/17","B",82,164,6,5
"happy","item58",18,"19/12/17","B",70,149,7,5
"happy","item59",18,"19/12/17","B",81,150,6,5
"happy","item60",18,"19/12/17","B",72,159,7,5
"happy","item61",18,"19/12/17","B",81,168,6,6
"happy","item62",18,"19/12/17","B",67,170,7,5
"happy","item63",18,"19/12/17","B",89,158,6,5
"happy","item64",18,"19/12/17","B",70,172,6,5
