"var_001","var_002","vp_id","var_003","var_004","var_005","var_006","var_007","var_008"
"sad","item1",16,"19/12/17","C",114,172,7,3
"sad","item2",16,"19/12/17","C",112,175,7,2
"sad","item3",16,"19/12/17","C",125,181,6,3
"sad","item4",16,"19/12/17","C",109,168,7,2
"sad","item5",16,"19/12/17","C",137,176,7,3
"sad","item6",16,"19/12/17","C",114,181,7,3
"sad","item7",16,"19/12/17","C",123,182,7,3
"sad","item8",16,"19/12/17","C",123,197,7,2
"sad","item9",16,"19/12/17","C",129,173,6,3
"sad","item10",16,"19/12/17","C",107,194,7,3
"sad","item11",16,"19/12/17","C",136,191,7,3
"sad","item12",16,"19/12/17","C",116,164,6,3
"sad","item13",16,"19/12/17","C",113,199,6,3
"sad","item14",16,"19/12/17","C",121,175,7,3
"sad","item15",16,"19/12/17","C",134,201,6,3
"sad","item16",16,"19/12/17","C",132,184,7,2
"sad","item17",16,"19/12/17","C",122,189,7,3
"sad","item18",16,"19/12/17","C",113,187,7,3
"sad","item19",16,"19/12/17","C",125,173,7,3
"sad","item20",16,"19/12/17","C",130,196,7,3
"sad","item21",16,"19/12/17","C",127,192,7,2
"sad","item22",16,"19/12/17","C",124,194,7,3
"sad","item23",16,"19/12/17","C",120,168,6,3
"sad","item24",16,"19/12/17","C",125,177,7,2
"sad","item25",16,"19/12/17","C",133,173,6,2
"sad","item26",16,"19/12/17","C",129,198,6,3
"sad","item27",16,"19/12/17","C",133,168,7,2
"sad","item28",16,"19/12/17","C",110,190,7,3
"sad","item29",16,"19/12/17","C",112,178,6,3
"sad","item30",16,"19/12/17","C",124,180,7,3
"sad","item31",16,"19/12/17","C",124,200,7,3
"sad","item32",16,"19/12/17","C",116,184,6,3
"happy","item33",16,"19/12/17","C",138,202,7,5
"happy","item34",16,"19/12/17","C",121,189,7,4
"happy","item35",16,"19/12/17","C",143,203,7,5
"happy","item36",16,"19/12/17","C",116,200,7,5
"happy","item37",16,"19/12/17","C",128,182,7,5
"happy","item38",16,"19/12/17","C",132,200,7,5
"happy","item39",16,"19/12/17","C",130,203,7,5
"happy","item40",16,"19/12/17","C",145,192,7,5
"happy","item41",16,"19/12/17","C",103,197,7,4
"happy","item42",16,"19/12/17","C",128,181,7,4
"happy","item43",16,"19/12/17","C",131,184,7,5
"happy","item44",16,"19/12/17","C",120,215,7,5
"happy","item45",16,"19/12/17","C",121,204,7,5
"happy","item46",16,"19/12/17","C",130,203,7,5
"happy","item47",16,"19/12/17","C",131,200,7,5
"happy","item48",16,"19/12/17","C",140,193,7,4
"happy","item49",16,"19/12/17","C",132,177,7,5
"happy","item50",16,"19/12/17","C",120,192,7,5
"happy","item51",16,"19/12/17","C",113,176,7,4
"happy","item52",16,"19/12/17","C",140,182,7,4
"happy","item53",16,"19/12/17","C",124,183,7,5
"happy","item54",16,"19/12/17","C",129,168,7,5
"happy","item55",16,"19/12/17","C",141,194,7,5
"happy","item56",16,"19/12/17","C",129,202,7,4
"happy","item57",16,"19/12/17","C",127,191,7,5
"happy","item58",16,"19/12/17","C",128,183,7,5
"happy","item59",16,"19/12/17","C",141,181,7,5
"happy","item60",16,"19/12/17","C",139,169,7,4
"happy","item61",16,"19/12/17","C",126,169,7,4
"happy","item62",16,"19/12/17","C",106,186,7,5
"happy","item63",16,"19/12/17","C",129,197,7,5
"happy","item64",16,"19/12/17","C",129,201,7,4
