"var_001","var_002","vp_id","var_003","var_004","var_005","var_006","var_007","var_008"
"sad","item1",19,"19/12/17","D",118,198,9,3
"sad","item2",19,"19/12/17","D",133,209,9,2
"sad","item3",19,"19/12/17","D",140,194,9,3
"sad","item4",19,"19/12/17","D",136,209,9,2
"sad","item5",19,"19/12/17","D",131,219,10,2
"sad","item6",19,"19/12/17","D",131,200,9,2
"sad","item7",19,"19/12/17","D",133,188,9,2
"sad","item8",19,"19/12/17","D",132,196,9,3
"sad","item9",19,"19/12/17","D",130,202,9,3
"sad","item10",19,"19/12/17","D",105,208,9,3
"sad","item11",19,"19/12/17","D",129,186,10,3
"sad","item12",19,"19/12/17","D",120,192,9,2
"sad","item13",19,"19/12/17","D",111,180,9,3
"sad","item14",19,"19/12/17","D",106,207,9,3
"sad","item15",19,"19/12/17","D",120,211,10,2
"sad","item16",19,"19/12/17","D",129,204,9,3
"sad","item17",19,"19/12/17","D",121,205,9,2
"sad","item18",19,"19/12/17","D",143,188,10,2
"sad","item19",19,"19/12/17","D",135,192,9,3
"sad","item20",19,"19/12/17","D",127,198,9,3
"sad","item21",19,"19/12/17","D",127,200,9,3
"sad","item22",19,"19/12/17","D",126,188,9,2
"sad","item23",19,"19/12/17","D",132,209,9,3
"sad","item24",19,"19/12/17","D",111,187,9,3
"sad","item25",19,"19/12/17","D",128,173,9,2
"sad","item26",19,"19/12/17","D",131,186,10,3
"sad","item27",19,"19/12/17","D",122,194,9,2
"sad","item28",19,"19/12/17","D",120,198,9,3
"sad","item29",19,"19/12/17","D",130,212,10,2
"sad","item30",19,"19/12/17","D",128,204,9,2
"sad","item31",19,"19/12/17","D",131,203,9,3
"sad","item32",19,"19/12/17","D",129,205,9,3
"happy","item33",19,"19/12/17","D",143,180,9,5
"happy","item34",19,"19/12/17","D",110,197,9,5
"happy","item35",19,"19/12/17","D",137,207,9,5
"happy","item36",19,"19/12/17","D",123,187,9,5
"happy","item37",19,"19/12/17","D",136,194,9,5
"happy","item38",19,"19/12/17","D",129,214,9,6
"happy","item39",19,"19/12/17","D",131,214,9,5
"happy","item40",19,"19/12/17","D",136,209,9,6
"happy","item41",19,"19/12/17","D",125,189,9,4
"happy","item42",19,"19/12/17","D",138,197,9,5
"happy","item43",19,"19/12/17","D",151,189,9,5
"happy","item44",19,"19/12/17","D",141,188,9,5
"happy","item45",19,"19/12/17","D",134,200,9,6
"happy","item46",19,"19/12/17","D",135,194,9,5
"happy","item47",19,"19/12/17","D",145,198,9,5
"happy","item48",19,"19/12/17","D",121,225,9,5
"happy","item49",19,"19/12/17","D",126,195,9,5
"happy","item50",19,"19/12/17","D",136,195,9,6
"happy","item51",19,"19/12/17","D",145,165,9,5
"happy","item52",19,"19/12/17","D",127,191,9,5
"happy","item53",19,"19/12/17","D",121,192,9,6
"happy","item54",19,"19/12/17","D",129,191,9,5
"happy","item55",19,"19/12/17","D",123,189,9,5
"happy","item56",19,"19/12/17","D",127,218,9,6
"happy","item57",19,"19/12/17","D",135,210,9,6
"happy","item58",19,"19/12/17","D",145,211,9,6
"happy","item59",19,"19/12/17","D",130,194,9,5
"happy","item60",19,"19/12/17","D",133,201,9,5
"happy","item61",19,"19/12/17","D",140,210,9,5
"happy","item62",19,"19/12/17","D",146,223,9,5
"happy","item63",19,"19/12/17","D",129,222,9,5
"happy","item64",19,"19/12/17","D",138,188,9,5
